checking_account_status,credit_history,purpose,savings_account,employment_since,personal_status_sex,other_debtors,property,other_installment_plans,housing,job,telephone,foreign_worker,target,target
1,3,6,1,2,3,1,2,2,2,3,1,2,0,0
1,2,2,1,3,2,1,1,3,1,3,1,2,0,0
1,1,9,1,3,3,1,2,1,1,3,2,2,0,0
1,2,Other,1,4,4,1,2,3,1,3,1,2,0,0
1,2,1,1,4,3,1,4,3,3,3,2,2,0,0
2,0,9,1,3,3,1,3,2,2,3,2,2,0,0
2,4,0,1,5,3,3,1,3,2,3,1,2,0,0
1,2,0,1,2,2,1,1,1,2,2,1,2,0,0
2,2,0,1,5,1,1,1,3,1,3,1,2,0,0
1,2,0,1,4,1,1,3,3,2,3,1,2,0,0
1,4,0,1,5,3,3,2,3,1,3,2,1,0,0
1,4,0,1,3,4,3,2,1,1,3,1,1,0,0
2,2,2,1,3,2,1,3,1,2,3,1,2,0,0
2,4,0,1,5,3,1,3,3,2,3,2,2,0,0
2,2,0,1,2,3,1,1,1,2,2,1,2,0,0
2,3,0,2,5,3,1,3,2,2,4,2,2,0,0
4,4,0,3,3,3,1,4,3,3,3,1,2,0,0
2,2,0,1,5,3,1,3,1,2,2,1,2,0,0
4,2,6,1,5,3,1,3,1,2,2,1,2,0,0
2,2,0,5,3,3,1,4,1,3,3,2,2,0,0
1,2,3,1,5,3,1,1,3,2,2,1,2,0,0
2,1,0,2,1,3,1,2,2,2,4,2,2,0,0
4,2,2,1,3,3,1,1,3,1,2,1,2,0,0
4,1,1,5,1,2,1,1,1,2,4,2,2,0,0
1,1,0,1,4,3,1,4,1,3,2,1,2,0,0
4,4,3,5,5,2,1,2,3,2,2,1,2,0,0
2,4,3,1,2,3,1,2,1,2,2,1,2,0,0
3,4,0,3,4,4,1,1,3,2,3,2,2,0,0
2,2,9,1,5,2,1,2,3,2,3,1,2,0,0
4,4,1,2,3,2,1,3,3,1,2,1,2,0,0
3,1,9,1,2,2,1,1,1,2,1,1,2,0,0
1,4,5,1,1,2,1,4,3,3,1,1,2,0,0
2,2,9,2,5,1,1,3,3,1,2,1,2,0,0
2,2,2,2,3,2,2,3,1,1,3,1,2,0,0
2,0,9,2,3,2,1,3,3,1,2,1,2,0,0
2,2,3,2,2,4,1,3,3,1,3,2,2,0,0
4,2,0,5,3,3,1,3,2,1,3,1,2,0,0
2,2,3,1,2,3,1,3,3,2,3,1,2,0,0
2,0,9,1,2,3,1,4,3,1,3,2,2,0,0
1,2,2,1,2,2,1,1,3,1,2,2,2,0,0
2,2,3,1,5,3,1,3,3,2,3,1,2,0,0
2,2,2,1,2,2,1,3,1,2,3,2,2,0,0
4,3,9,1,2,3,1,3,1,2,3,2,2,0,0
1,2,3,1,3,4,1,1,3,2,3,1,2,0,0
1,2,3,1,3,3,1,4,3,3,3,2,2,0,0
1,1,0,5,3,3,1,2,1,2,2,1,2,0,0
4,2,9,1,1,3,1,3,3,1,4,2,2,0,0
2,0,9,1,5,2,1,4,2,3,4,2,2,0,0
3,2,3,1,3,3,2,1,3,2,3,1,2,0,0
1,0,9,1,5,3,1,3,3,1,3,1,2,0,0
1,2,6,1,2,2,1,2,3,2,3,1,2,0,0
1,2,5,1,2,1,1,4,1,2,2,2,2,0,0
2,0,Other,1,3,2,1,2,1,2,4,2,1,0,0
1,2,0,1,5,3,1,4,1,2,4,2,2,0,0
2,2,2,5,5,2,1,2,3,2,3,2,2,0,0
1,2,1,1,5,3,1,4,3,3,3,2,2,0,0
2,2,3,1,2,4,1,2,3,2,3,2,2,0,0
4,3,9,1,3,4,1,3,3,2,3,2,2,0,0
2,4,2,1,3,2,1,3,3,2,4,2,2,0,0
1,2,3,1,3,2,1,3,1,1,3,1,2,0,0
1,2,3,1,4,4,3,1,3,2,3,2,2,0,0
4,4,9,1,1,3,1,3,2,2,4,2,2,0,0
1,2,0,1,5,1,1,2,3,2,4,2,1,0,0
1,2,3,2,4,4,1,2,3,2,3,1,2,0,0
1,2,0,1,2,2,1,3,3,2,2,1,2,0,0
2,2,0,1,3,2,1,2,3,1,2,2,2,0,0
1,2,6,1,1,2,1,1,3,2,1,1,2,0,0
2,2,1,1,5,2,1,4,3,3,4,2,2,0,0
1,2,1,5,5,3,1,2,3,3,3,2,2,0,0
1,4,0,1,5,2,1,1,1,1,3,2,2,0,0
1,0,3,1,3,3,1,2,3,1,3,2,2,0,0
1,2,3,1,3,3,1,1,3,1,2,1,2,0,0
1,2,0,1,5,3,2,1,3,2,3,1,2,0,0
4,4,0,5,5,3,1,4,3,3,4,2,2,0,0
2,2,3,5,1,3,1,4,3,2,4,2,2,0,0
1,2,2,5,5,3,1,2,3,2,3,1,2,0,0
